agent	soul_outcome	soul_detail	memory_outcome	memory_detail
circuit	legacy_clean		legacy_clean	
circuit-aether	legacy_clean		legacy_clean	
circuit-alphawave	legacy_clean		legacy_clean	
circuit-anchor	legacy_clean		legacy_clean	
citadel	legacy_clean		legacy_clean	
citadel-aether	git_recovered	44d9b1b8221ff7c03d9f77972b00fd87bc107d0a	legacy_clean	
citadel-alphawave	legacy_clean		legacy_clean	
citadel-anchor	legacy_clean		legacy_clean	
clarity	legacy_clean		legacy_clean	
clarity-aether	legacy_clean		legacy_clean	
clarity-alphawave	legacy_clean		legacy_clean	
clarity-anchor	legacy_clean		legacy_clean	
claude-opus	legacy_clean		legacy_clean	
coax	legacy_clean		legacy_clean	
coax-aether	git_recovered	ae34f57101828e4780a8a824765d70f7246eb61f	legacy_clean	
coax-alphawave	legacy_clean		legacy_clean	
coax-anchor	legacy_clean		legacy_clean	
cobalt	legacy_clean		legacy_clean	
cobalt-aether	git_recovered	bb27615f82bdf1b0030d1b1fb0f939ee36f90f82	legacy_clean	
cobalt-alphawave	git_recovered	dfdf4d61a727943568c236a9fc74d26b890fc89c	legacy_clean	
cobalt-anchor	legacy_clean		legacy_clean	
codex	legacy_clean		legacy_clean	
codex-aether	git_recovered	dfdf4d61a727943568c236a9fc74d26b890fc89c	legacy_clean	
codex-alphawave	legacy_clean		legacy_clean	
codex-anchor	legacy_clean		legacy_clean	
comet	legacy_clean		legacy_clean	
comet-aether	legacy_clean		legacy_clean	
comet-alphawave	legacy_clean		legacy_clean	
comet-anchor	legacy_clean		legacy_clean	
compass	legacy_clean		legacy_clean	
compass-aether	git_recovered	aea898a7a89bd2e52289ad89dbc3dc7dd21f0746	legacy_clean	
compass-alphawave	legacy_clean		legacy_clean	
compass-anchor	legacy_clean		legacy_clean	
conduit	legacy_clean		legacy_clean	
conduit-aether	legacy_clean		legacy_clean	
conduit-alphawave	legacy_clean		legacy_clean	
conduit-anchor	legacy_clean		legacy_clean	
contour	legacy_clean		legacy_clean	
contour-aether	legacy_clean		legacy_clean	
contour-alphawave	legacy_clean		legacy_clean	
contour-anchor	legacy_clean		legacy_clean	
copper	legacy_clean		legacy_clean	
copper-aether	legacy_clean		legacy_clean	
copper-alphawave	git_recovered	b36317aed8d29b42133609b0e747100af723028a	legacy_clean	
copper-anchor	legacy_clean		legacy_clean	
coral	legacy_clean		legacy_clean	
coral-aether	legacy_clean		legacy_clean	
coral-alphawave	legacy_clean		legacy_clean	
coral-anchor	legacy_clean		legacy_clean	
core	legacy_clean		legacy_clean	
core-aether	legacy_clean		legacy_clean	
core-alphawave	legacy_clean		legacy_clean	
core-anchor	legacy_clean		legacy_clean	
corrigendum	legacy_clean		legacy_clean	
cosine	legacy_clean		legacy_clean	
cosine-aether	legacy_clean		legacy_clean	
cosine-alphawave	legacy_clean		legacy_clean	
cosine-anchor	legacy_clean		legacy_clean	
crux	legacy_clean		legacy_clean	
crux-aether	legacy_clean		legacy_clean	
crux-alphawave	legacy_clean		legacy_clean	
crux-anchor	legacy_clean		legacy_clean	
crystal	legacy_clean		legacy_clean	
crystal-aether	legacy_clean		legacy_clean	
crystal-alphawave	legacy_clean		legacy_clean	
crystal-anchor	legacy_clean		emptied	
current	legacy_clean		legacy_clean	
current-aether	legacy_clean		legacy_clean	
current-alphawave	legacy_clean		legacy_clean	
current-anchor	legacy_clean		legacy_clean	
cypher	legacy_clean		legacy_clean	
cypher-aether	legacy_clean		legacy_clean	
cypher-alphawave	legacy_clean		legacy_clean	
cypher-anchor	legacy_clean		legacy_clean	
datum	legacy_clean		legacy_clean	
datum-aether	legacy_clean		legacy_clean	
datum-alphawave	git_recovered	b692e71c57ae3affa9f0bac563c789653ba1b01b	legacy_clean	
datum-anchor	legacy_clean		legacy_clean	
dawnbreak	git_recovered	582906ee9b3e63940cb62a671cc530094f6e5d37	legacy_clean	
dawnbreak-aether	legacy_clean		legacy_clean	
dawnbreak-alphawave	legacy_clean		legacy_clean	
dawnbreak-anchor	legacy_clean		legacy_clean	
debug	git_recovered	044ac5a1cddb890b3cd4e63051382a3ca7d07519	legacy_clean	
debug-aether	legacy_clean		legacy_clean	
debug-alphawave	legacy_clean		legacy_clean	
debug-anchor	legacy_clean		legacy_clean	
decibel	legacy_clean		legacy_clean	
